Data Background: "The data is the population of China from 1800 to 2015."

Dataset:
"Year,Population
1800,321675013
1810,350542958
1820,380055273
1830,402373519
1840,411213424
1850,402711280
1860,380047548
1870,363661158
1880,365544192
1890,377135349
1900,395184556
1910,417830774
1920,462750597
1930,481222579
1940,509858820
1950,544112923
1951,558820362
1952,570764965
1953,580886559
1954,589955812
1955,598574241
1956,607167524
1957,615992182
1958,625155626
1959,634649557
1960,644450173
1961,654625069
1962,665426760
1963,677332765
1964,690932043
1965,706590947
1966,724490033
1967,744365635
1968,765570668
1969,787191243
1970,808510713
1971,829367784
1972,849787991
1973,869474823
1974,888132761
1975,905580445
1976,921688199
1977,936554514
1978,950537317
1979,964155176
1980,977837433
1981,991553829
1982,1005328574
1983,1019698475
1984,1035328572
1985,1052622410
1986,1071834975
1987,1092646739
1988,1114162025
1989,1135128009
1990,1154605773
1991,1172327831
1992,1188450231
1993,1202982955
1994,1216067023
1995,1227841281
1996,1238234851
1997,1247259143
1998,1255262566
1999,1262713651
2000,1269974572
2001,1277188787
2002,1284349938
2003,1291485488
2004,1298573031
2005,1305600630
2006,1312600877
2007,1319625197
2008,1326690636
2009,1333807063
2010,1340968737
2011,1348174478
2012,1355386952
2013,1362514260
2014,1369435670
2015,1376048943"

Script:"Let's take a journey through time, observing the remarkable growth of China's population from 1800 to 2015. Our story begins in the 19th century, with a population of over 321 million in 1800, reflecting the vastness of China even in historical times.
As we progress along the x-axis of our graph, we see a gradual increase through the 1800s and early 1900s, despite historical upheavals. The real surge, however, begins around the mid-20th century. Post-1950, there's a notable acceleration, with the population climbing from around 544 million to over a billion by the turn of the century.
By 2015, the population reaches an astounding 1.37 billion. This graph not only shows numbers but tells a story of societal changes, economic development, and urbanization in modern China."
